bandwidth,cruise_speed,firm_obstacle,illuminance,obstacle_distance,obstacle_size,power,quality,smoke_intensity
27.728,0.6924,1,111153.7149,2.0508,53.0484,10,2,1
10.357,1.5533,0,104316.8355,1.6015,41.2679,66,1,2
28.8505,4.0204,0,39879.6174,9.1822,42.6428,54,1,1
48.4887,3.774,1,13216.1576,2.1555,61.6632,79,1,0
30.8199,1.5145,0,57277.9232,4.4531,14.9005,43,1,2
39.1689,1.9531,1,60300.7218,3.1432,99.2954,68,1,2
43.7593,4.2842,1,96736.4944,8.5597,58.8715,24,0,2
41.6517,0.8487,0,50390.2999,9.7561,101.9934,4,1,2
32.441,0.2559,0,38174.1424,5.2311,70.4324,69,1,0
25.1744,4.3968,0,4632.6094,4.3444,75.3191,68,2,2
38.1945,0.1735,1,54449.1936,0.0263,114.9853,90,0,0
43.0127,0.4802,0,16212.1167,8.7872,70.4792,53,1,1
36.1203,3.6459,1,22227.973,5.5892,9.5059,95,2,0
39.993,2.2769,1,106812.0422,5.7627,71.2028,69,0,0
32.9044,1.6975,1,58202.0157,1.1013,48.3624,90,1,0
31.4997,0.0536,0,65767.5155,2.6943,55.6905,32,2,1
43.7373,3.4675,1,27940.1223,7.7924,50.8201,53,2,1
12.4265,2.4974,0,111545.8067,8.2175,69.0061,15,1,2
44.8715,1.9221,1,32417.2952,8.5606,87.9615,13,0,0
25.6152,4.7233,0,104444.1697,8.1919,4.0137,14,0,0
49.4675,3.3088,1,78243.1116,1.2073,111.2107,42,2,2
32.7912,2.1882,1,87648.6692,1.3717,33.3295,94,2,0
38.2253,2.4119,1,31425.9475,1.7271,67.508,100,1,2
16.2949,2.2795,0,47132.5794,1.0104,101.7337,33,0,2
47.6489,3.6526,0,29554.1283,3.7114,41.3916,95,1,2
46.8693,3.1539,1,72746.5269,7.0982,28.8485,34,1,1
33.1083,2.1344,1,42067.5524,8.4722,75.3235,95,2,1
20.8368,0.2629,0,77735.1268,7.7673,36.7745,94,0,1
23.4671,4.1059,0,101464.9952,7.8697,52.5009,26,2,1
11.0622,0.6161,1,109882.5385,2.1307,27.7936,39,0,2
48.8426,1.0513,1,110369.1393,5.7002,45.6686,47,2,0
46.9031,2.357,1,118401.9277,4.2224,21.0707,21,1,1
16.3169,3.9131,0,62397.1019,8.188,18.9517,24,2,2
24.484,4.9574,1,96556.3461,5.5318,46.1081,47,0,1
39.3312,2.8439,1,9848.5386,3.0765,72.9246,16,1,1
42.1856,0.832,1,64585.1188,4.6759,9.0075,40,1,2
10.7915,0.7757,0,27632.6507,7.393,77.269,76,2,0
39.8795,3.229,0,8385.2698,9.5189,26.7505,80,2,0
18.51,3.5147,1,69508.4516,2.7671,29.8922,0,1,2
11.7725,0.4446,0,87653.7146,8.0242,35.8658,12,0,1
38.2731,0.0617,1,112683.946,9.3029,96.1903,90,2,0
30.1908,4.3132,1,31936.707,6.2293,77.1545,80,0,2
18.9605,0.1394,1,24441.2161,9.32,46.9939,31,1,0
31.558,0.5621,1,113287.2689,5.912,110.8393,37,2,2
25.5523,2.0806,1,43886.9964,8.5468,18.948,28,1,0
11.6898,0.262,1,111050.2333,3.8522,15.4947,57,0,2
29.2529,1.676,0,17288.3356,1.656,56.155,97,2,1
47.1065,2.4068,1,110769.0473,1.1614,37.0662,2,1,1
44.9032,4.8188,1,55087.6481,5.0435,1.9732,8,2,2
29.4885,0.5726,1,36657.313,6.0476,11.6102,26,0,1
18.833,3.9267,1,71607.2064,2.0138,78.3404,53,1,1
25.1374,3.6307,1,85671.9985,6.377,62.9792,61,1,2
41.2832,0.2563,0,30301.8599,4.6514,63.9146,26,2,1
34.7458,0.7034,0,95202.3994,7.8064,14.9329,100,2,0
19.5723,4.0519,0,39803.5251,0.6953,116.5878,2,1,1
41.378,1.601,1,6233.3874,7.942,109.7761,19,2,2
18.4869,1.8907,1,88745.4123,1.3169,57.0237,30,1,0
18.2439,3.8281,0,81596.5199,9.2933,68.3281,60,1,1
39.1225,3.7474,1,99771.2653,1.137,78.1864,11,1,1
11.5613,2.8448,0,48021.5879,0.8894,74.0688,21,1,1
49.1448,3.6545,0,93220.6531,5.1654,89.9561,10,1,0
18.2106,1.5393,0,57711.6854,2.2112,58.212,46,0,2
19.9305,4.4251,1,84774.0175,1.204,23.0325,91,1,1
19.7655,4.104,1,74120.0569,8.0831,89.5554,40,0,1
32.0476,1.9943,1,67570.8475,1.3191,13.4441,21,2,2
36.8441,3.9518,1,88700.7854,3.994,117.4663,55,1,1
44.4163,3.4934,0,94527.4132,2.9001,52.7179,70,2,0
27.8917,1.3984,1,2296.2894,5.4722,28.0188,32,1,0
40.8833,4.2107,1,108809.6362,3.1919,22.3838,11,2,1
10.7557,0.1725,1,105193.8696,8.8329,106.9961,41,0,1
34.5589,4.8284,0,115316.4633,7.7074,83.8324,39,0,1
48.4317,2.3493,1,65219.5335,7.7985,12.5198,19,1,2
11.858,2.4057,0,40873.4583,9.1536,105.3778,94,1,1
14.0238,3.9391,0,90241.7457,0.3427,38.1557,59,2,2
49.9053,1.7187,0,79395.8267,0.3892,119.4181,70,0,1
19.9019,1.5328,0,87143.7959,1.5854,87.2106,25,1,2
41.6613,2.3061,0,113346.9468,0.71,42.5603,6,2,0
32.012,2.3473,0,51282.3499,7.0451,63.2627,31,2,1
33.004,4.1962,1,117771.4604,7.2758,16.8416,94,0,0
27.0392,0.6785,0,79729.3814,7.3206,2.3459,42,2,0
36.27,1.9263,0,53897.196,7.926,42.7098,88,1,2
40.749,3.5337,1,2082.0087,9.72,17.7735,94,0,1
14.9764,3.3261,1,33259.1872,3.6982,15.5909,88,2,0
40.7447,3.5739,1,103944.6572,3.9713,70.3425,88,1,1
