car_speed,orientation,p_x,p_y,road_shape,weather
11.3983,10,9.4563,8.0464,2,1
23.6419,-28,8.5412,5.3439,1,0
47.2393,-7,6.0917,7.6802,0,2
10.5734,-29,6.6004,2.6719,1,0
37.2244,1,8.6407,4.0544,1,0
30.8258,-21,8.8474,2.3299,1,1
23.3645,7,5.0658,3.5626,1,0
24.8733,-12,5.4183,0.7768,0,0
17.1331,-17,0.2537,7.7372,2,2
24.2032,11,7.1736,9.2247,2,1
7.6352,-7,5.2675,6.6992,2,0
42.2785,30,4.1481,3.9397,0,1
9.1615,8,6.3307,6.5566,0,0
20.9931,1,6.2551,9.6361,1,0
8.9647,8,3.8513,9.3508,1,0
38.5428,28,9.9774,1.4911,0,2
6.2947,-28,3.1535,0.0403,1,0
30.4672,-24,8.437,6.308,1,2
43.0912,30,7.7061,6.346,2,1
38.8004,-15,3.6287,2.1754,1,2
12.4214,16,9.3836,7.1048,0,1
34.7503,-22,0.0621,9.1021,2,2
46.5807,-22,8.4733,1.1317,1,2
5.4074,6,2.3998,7.8429,0,1
47.6876,28,9.3462,5.3042,0,2
7.7076,3,2.7816,9.5324,2,1
37.3327,-6,9.0282,5.6322,1,2
14.1684,-2,7.6259,1.3075,0,2
18.4285,-9,3.3899,3.4056,0,1
26.9633,14,7.7347,3.05,1,0
24.382,-7,2.3366,9.597,2,2
9.7127,8,7.7653,2.4271,2,0
5.9655,-24,4.1797,4.4109,0,2
25.8611,-18,9.724,0.0603,2,1
7.0509,26,0.1224,5.468,1,0
27.9949,-30,8.3812,4.6208,0,2
48.2171,22,4.3313,4.8553,2,0
25.013,17,7.2208,1.2501,0,0
46.9396,-20,8.7403,0.079,0,0
14.8821,23,3.6364,9.5671,2,2
45.6999,-20,6.1996,9.7772,0,2
19.8333,6,9.2369,0.5763,1,1
22.0769,3,2.6346,7.328,0,1
45.9755,-15,9.7644,1.9227,2,0
39.0938,12,0.583,1.9354,2,2
31.8637,-23,1.1643,0.6328,2,2
31.9674,2,7.696,7.8919,0,2
24.8057,22,0.0576,3.2254,1,2
11.4554,0,4.7874,3.8425,0,2
13.6319,-11,4.8931,1.7356,2,2
23.1532,-24,5.6599,9.4385,0,2
45.1369,13,5.4458,5.4185,2,1
31.0905,4,2.4044,8.0655,0,1
12.5581,-18,5.5492,3.9189,0,0
40.8081,-23,1.0005,8.7237,2,1
5.2352,-20,8.364,6.5413,1,0
29.7971,10,4.4,2.1868,2,0
14.9526,8,9.2675,2.9103,2,0
30.1328,26,7.578,4.8495,0,0
45.6451,-12,2.4622,5.4552,2,1
14.1136,2,5.3094,6.8814,0,2
36.0362,11,1.1563,8.8396,0,2
41.3316,24,6.4819,9.3314,2,2
27.7604,-6,5.7844,7.6694,0,0
32.8528,9,3.16,0.5307,2,0
32.8709,26,0.7531,0.2618,2,1
6.1149,11,3.8185,0.6466,2,0
21.3421,-1,6.5516,0.9641,0,1
17.4177,8,6.6975,6.353,2,1
10.7085,-20,2.3716,4.8515,0,0
11.1179,-8,8.4767,6.041,2,1
21.7405,20,9.3345,0.1182,1,1
33.9305,8,5.5798,0.1645,1,0
6.5642,-16,7.7198,8.1005,2,0
6.1597,15,4.6081,9.5515,2,1
15.1561,-12,8.1105,3.0629,1,1
34.0684,12,6.3403,1.2683,2,1
23.5796,18,3.3003,7.7161,0,1
25.1751,-7,6.9183,3.0242,1,2
29.4546,27,4.1673,5.2678,0,0
45.3578,-7,0.462,7.5362,2,2
28.1809,-15,3.233,9.2979,0,0
46.4427,11,2.2115,7.1857,1,2
45.5467,8,1.4564,9.0969,0,0
39.2881,8,9.632,0.1666,2,2
12.2928,-21,5.2716,0.3864,1,0
47.425,-9,8.2858,8.4786,1,2
25.0332,22,2.158,0.6137,0,1
31.9651,15,2.6258,2.6382,2,0
23.4068,29,5.4123,8.0634,1,2
46.2346,-7,3.8144,2.1091,2,1
46.1036,15,4.5965,3.8911,1,1
39.4407,-30,2.0098,1.3517,1,1
8.8455,22,3.6796,7.0285,0,1
47.1871,-14,7.7299,6.1105,1,2
25.4204,1,2.2304,7.2028,0,1
35.1402,17,4.7442,5.3823,2,0
47.6447,21,1.829,3.2221,1,2
15.1113,17,1.3403,6.4023,1,0
47.2332,5,4.9796,7.5367,2,1
38.6775,25,7.9279,2.7719,1,1
44.1593,-9,9.5653,7.5181,1,2
27.6607,-24,5.2148,9.0063,2,0
13.8552,-30,5.4458,0.0801,1,2
11.1738,-29,3.1541,3.7256,2,2
25.7705,-24,6.3218,8.6829,2,0
34.2117,13,7.6359,0.5183,1,1
33.6528,-9,0.8719,9.847,1,0
42.4575,5,0.5972,1.4784,1,0
20.994,-10,9.0782,7.04,0,2
9.3022,1,0.1822,9.8005,0,1
26.691,29,6.3717,6.6553,0,1
32.4801,22,7.0694,0.0154,1,0
33.5622,-19,5.174,3.5843,0,0
8.8921,-23,9.6493,1.9837,1,1
16.2566,-12,9.0935,7.099,2,2
47.6047,-1,7.1103,8.9064,2,1
43.4441,-23,1.6473,2.9699,0,0
32.3055,18,6.6839,7.5311,1,2
18.4417,1,2.3177,2.3556,0,1
10.166,1,0.7938,6.0638,1,1
12.2993,-19,5.1845,8.3059,2,1
25.096,-4,8.5703,8.4494,0,0
26.4506,3,5.8157,2.922,2,1
47.4015,-16,2.3551,3.3883,1,2
21.2733,-29,3.9742,0.5821,0,2
8.1223,27,4.3062,9.6169,2,0
20.4856,-17,5.472,4.3281,2,0
17.9642,2,4.4312,8.9568,2,1
17.0411,-15,8.6536,1.4655,2,0
24.4254,-28,5.1804,0.1895,1,0
49.353,24,6.3722,4.0138,0,0
17.3615,-21,8.243,7.2734,2,1
30.5822,18,5.7738,1.4502,0,1
25.1676,6,5.905,7.9373,2,0
14.1511,-4,3.6834,6.7279,2,2
37.0818,27,9.1122,0.0935,0,1
22.7577,22,0.3623,8.9633,2,0
10.5501,29,5.0161,1.9479,1,1
42.9704,-8,4.1444,9.3951,1,2
9.4793,26,5.0583,3.5426,2,1
37.9806,15,8.6997,0.3259,0,2
9.8568,-26,8.9444,2.1668,1,0
5.6265,-6,5.1355,4.652,2,1
17.5486,9,2.3531,0.4852,0,0
35.9967,26,3.8217,4.3014,2,1
20.3561,2,2.0472,1.1387,0,0
10.8283,13,9.4199,6.5011,0,2
22.2576,6,0.9633,6.1992,1,2
49.8041,26,2.3244,5.6682,2,1
28.5706,-3,0.6588,8.8181,1,0
25.5953,4,0.1242,4.2529,1,2
11.9895,-17,1.4651,3.2267,0,1
30.6603,-22,4.831,2.8356,2,0
33.995,-28,2.6062,8.5849,0,2
13.3362,9,4.1669,0.5036,0,2
42.5919,-19,6.3031,5.2371,1,0
38.6681,29,7.7589,6.6663,0,0
35.9527,22,1.6735,8.4215,2,0
14.0114,2,6.5159,2.378,1,1
12.4696,28,0.0893,9.827,1,2
9.7166,19,4.5844,8.0537,0,1
49.8721,-3,6.3748,1.2535,2,1
36.0954,4,5.8978,0.5121,2,2
12.0945,9,7.2441,7.3356,2,0
16.1427,13,5.9463,1.381,0,2
5.3766,-20,2.8051,1.7297,1,2
13.3627,23,3.6251,1.7264,2,0
25.6538,-8,5.5912,1.1532,2,0
15.1411,17,1.6653,2.477,2,1
22.435,18,7.5657,1.033,0,2
6.4138,5,1.4634,5.5849,0,1
41.1914,-5,3.4072,8.5677,1,1
11.7163,24,3.7787,6.8359,2,0
7.2507,1,8.2605,9.9432,0,0
41.5822,28,8.7271,8.4261,2,1
32.5181,-1,6.9064,8.3977,0,0
46.861,22,3.6134,9.3876,2,2
44.3303,21,6.5343,3.113,1,0
35.805,-24,7.6979,0.9211,1,0
13.7584,3,6.3931,4.256,2,1
16.1677,-7,4.5669,5.0122,0,1
14.6831,6,4.2837,2.3197,0,1
9.7081,-18,1.2182,8.5683,0,2
47.9485,27,5.6691,2.8913,0,0
28.2329,-27,2.2807,4.1125,1,1
38.0158,-8,6.4638,5.7097,2,1
42.8145,-12,6.8919,0.3315,2,0
41.4314,-30,7.1055,5.9982,2,1
21.3549,-12,9.8544,5.2743,0,2
40.5552,-14,5.6615,3.1525,0,1
36.6194,-29,5.6475,0.1122,2,0
14.5182,15,3.9399,8.4901,0,1
38.7243,24,6.7818,0.5859,1,2
35.0424,-5,6.5462,0.1766,0,2
29.3499,-7,4.2914,1.9114,2,2
29.0478,1,2.9185,2.0476,1,0
7.9826,12,4.3197,1.4929,2,1
34.1655,-12,4.9414,4.9223,1,2
26.0945,-8,0.1421,1.6461,2,1
38.4782,-11,6.9047,1.3561,0,2
15.1989,10,6.3532,7.2256,1,1
34.7216,-18,6.2679,9.3983,2,2
24.8758,-21,5.1304,3.7962,2,0
22.8305,-30,5.0766,1.9757,0,2
32.9141,-24,1.4957,3.4925,2,0
9.5603,-24,4.315,6.0189,0,0
23.8964,-18,5.6197,8.5886,0,2
26.8123,12,5.1641,3.7585,2,0
48.5959,-30,8.2591,2.0664,2,1
16.1874,-24,8.3284,2.736,0,2
39.7519,8,1.0078,1.2975,1,0
19.1485,4,1.8555,3.3636,1,2
42.3763,15,0.7226,5.4799,2,2
47.3243,3,1.4439,7.3188,0,0
7.1695,-17,6.0205,9.9991,0,0
23.7007,-12,5.9293,4.9512,2,1
9.4029,30,0.9998,3.7096,1,0
44.2294,19,8.2944,3.9931,2,1
11.823,-19,8.7828,1.1239,1,1
46.6663,-6,5.8376,4.1656,1,0
20.3082,15,0.8567,9.4149,2,2
12.9412,-23,6.6784,0.7794,2,1
5.1286,6,6.986,5.1548,0,2
8.4295,6,7.1554,5.8093,2,2
49.3655,-6,0.73,7.3099,2,1
22.6848,13,7.1065,3.6037,2,1
11.1087,26,4.2425,2.5921,0,1
11.3185,-2,9.2855,2.9722,1,2
18.383,-14,0.598,6.6325,2,0
